well,concentration_ug_per_mL
A1,298.47349999999994
B1,700.2336
C1,381.06230000000005
D1,368.15779999999995
E1,602.1593999999999
F1,535.0559999999999
G1,694.2114999999999
H1,490.32040000000006
A2,86.83970000000001
B2,381.06230000000005
C2,0.0
D2,193.5169
E2,723.4617
F2,82.5382
G2,635.7111000000001
H2,0.0
A3,400.84919999999994
B3,67.05279999999999
C3,0.0
D3,343.20910000000003
E3,368.15779999999995
F3,0.0
G3,0.0
H3,561.7253
A4,344.9297
B4,0.0
C4,302.775
D4,44.68500000000002
E4,94.5824
F4,0.0
G4,43.824699999999964
H4,72.21459999999999
A5,0.0
B5,110.06780000000002
C5,156.52399999999994
D5,319.1207
E5,357.83419999999995
F5,0.0
G5,406.01099999999997
H5,267.50269999999995
A6,347.5105999999999
B6,440.423
C6,315.67949999999996
D6,0.0
E6,440.423
F6,0.0
G6,393.9668
H6,219.3259
A7,8.552399999999981
B7,241.69369999999992
C7,371.59899999999993
D7,175.45059999999995
E7,0.0
F7,497.2028
G7,237.3922
H7,344.0693999999999
A8,0.0
B8,184.05359999999996
C8,216.745
D8,5.971499999999978
E8,313.0986
F8,233.09070000000003
G8,0.0
H8,483.43799999999993
A9,382.7828999999999
B9,0.0
C9,486.8792
D9,263.20120000000003
E9,551.4017
F9,319.1207
G9,2.5302999999999756
H9,86.83970000000001
A10,0.0
B10,73.07489999999999
C10,605.6006
D10,220.1862
E10,534.1957
F10,292.4514
G10,449.8863
H10,350.95179999999993
A11,324.28249999999997
B11,540.2177999999999
C11,535.9163
D11,378.48139999999995
E11,168.56819999999996
F11,644.3141
G11,609.9021
H11,245.9952
A12,451.6068999999999
B12,413.7537
C12,596.1373
D12,133.2959
E12,200.39929999999998
F12,347.5105999999999
G12,0.0
H12,170.28879999999995
