Isolate,ExoU_yn,ExoS_yn,ExoT_PcrV_PopD_yn,Swarming,Biofilm,ExoU,ExoT,PcrV,PopD,ExoS,Pyoverdine,Pyocyanine,Proteases,RL033,RL112,Twitching,Swimming,tim,cipro,ceftaz,gent,tobra,zosyn,ami,pan,aztreo,mero,azt
1018,n,y,y,1.0,0.9200000166893005,-1.0,21.0,24.0,41.0,107.0,7237.0,0.27,0.36,yes,yes,1.0,1.0957446808510638,S,S,S,S,S,S,S,S,S,S,S
1030,n,y,y,0.27000001072883606,1.4500000476837158,-1.0,62.0,61.0,70.0,345.0,20332.0,0.06,0.54,no,no,1.0,0.6276595744680851,S,S,S,S,S,S,S,S,S,S,S
1076,y,n,y,0.0,0.3799999952316284,29.0,36.0,16.0,62.0,3.0,6330.0,0.27,0.0,yes,No,1.0,0.6914893617021276,S,S,S,S,S,S,S,S,S,S,S
1085,n,y,y,0.0,0.8399999737739563,-1.0,34.0,37.0,48.0,126.0,14928.0,0.09,0.51,No,No,1.0,0.0,S,S,S,S,S,S,S,S,S,S,S
1089,n,y,y,0.6700000166893005,1.7799999713897705,-1.0,58.0,51.0,58.0,174.0,23736.0,0.08,0.57,no,no,1.0,1.0313636363636363,S,S,S,S,S,S,S,S,S,S,S
1153,y,n,y,0.9100000262260437,2.200000047683716,43.0,33.0,49.0,65.0,2.0,,,0.61,no,no,1.0,1.0186363636363636,S,S,S,S,S,S,S,S,S,S,S
1156,y,n,y,,,,,,,,,,,,,1.0,0.9545454545454546,S,S,S,S,S,S,S,S,S,S,S
1157,n,n,y,0.4699999988079071,0.6299999952316284,-1.0,45.0,61.0,57.0,-1.0,,,0.45,yes,no,1.0,1.0313636363636363,R,S,S,S,S,S,S,,S,S,S
1198,n,n,n,,0.9800000190734863,0.0,0.0,0.0,0.0,1.0,,,0.04,no,no,0.0,0.5095833333333333,,,,,,,,,,,
1236,y,n,y,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
1264B,y,n,y,,,,,,,,,,,,,0.0,0.1473989898989899,S,S,S,S,S,S,S,S,S,S,S
1247A,n,n,n,,,,,,,,,,,,,0.0,0.7940909090909093,S,S,S,S,S,S,S,S,S,S,S
1321A,n,n,n,,,,,,,,,,,,,0.0,0.7271831793108389,,,,,,,,,,,
1336A,y,n,y,,,,,,,,,,,,,,,S,S,S,I,S,S,S,S,S,S,S
1160,n,n,n,,,,,,,,,,,,,1.0,0.9463036158688333,S,S,S,S,S,S,S,S,S,S,S
1353,n,y,y,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,
1363,n,n,n,0.0,0.8500000238418579,0.0,0.0,3.0,1.0,0.0,,,0.2,yes,no,1.0,1.0874704491725768,,,,,,,,,,,
1364,n,n,n,,,,,,,,,,,,,0.0,0.6653201849215137,,,,,,,,,,,
1358,n,n,y,0.0,0.8999999761581421,2.0,19.0,63.0,39.0,-1.0,,,0.14,yes,yes,1.0,0.5328798185941044,S,S,S,S,S,S,S,S,S,S,S
1377,n,y,y,1.0,2.2200000286102295,0.0,40.0,49.0,93.0,210.0,4910.0,0.07,0.39,yes,no,1.0,0.999092970521542,R,S,S,S,S,S,S,,S,S,S
1424,n,y,y,1.2899999618530273,2.299999952316284,-1.0,64.0,67.0,109.0,204.0,20035.0,0.02,0.53,No,yes,1.0,1.0120181405895692,S,S,S,S,S,S,S,S,S,S,S
1429,n,n,y,,,,,,,,,,,,,1.0,0.19440512301988544,,,,,,,,,,,
1469A,y,n,y,,,,,,,,,,,,,1.0,0.6111672845747669,,,,,,,,,,,
1474,n,n,n,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,
